BOAMP_AVIS_NUM,D_01_01_Identite_Denomination,D_01_02_Identite_Codeidentnational,D_01_03_Identite_Correspondant,D_01_04_Identite_Contact,D_01_05_Identite_Adjudicateurnuts,D_01_06_Identite_Adresse,D_01_07_Identite_Cp,D_01_08_Identite_Ville,D_01_09_Identite_Pays,D_01_10_Identite_Tel,D_01_11_Identite_Poste,D_01_12_Identite_Fax,D_01_13_Identite_Mel,D_01_14_Identite_Url,D_01_15_Identite_Urlprofilacheteur,D_01_16_Identite_Urlinformation,D_01_17_Identite_Urlparticipation,D_01_18_Identite_Urldocument,D_01_19_Identite_Outillogiciel,D_01_20_Identite_Agitpourautrecompteoui,D_01_21_Identite_Agitpourautrecomptenon,D_01_22_Identite_Loicompteautrepays,D_01_23_Identite_Organismeacheteurcentraloui,D_01_24_Identite_Organismeacheteurcentralnon
10-88794,Rennes Métropole,None,,DGEPIB/Service Architecture et Patrimoine,,4 avenue Henri FrévilleCS 20723,35207,rennes,,(+33) 2-99-86-63-10,,(+33) 2-99-86-63-01,dgepib-archipatrimoine@rennesmetropole.fr,http://www.rennesmetropole.fr,https://marches.e-megalisbretagne.org,,,,,False,False,,False,False
12-27986,CHI Toulon La Seyne sur mer,None,cellule des marchés publics,,,"54, rue Henri Sainte Claire Devillecs 31412",83056,Toulon cedex,,,,,,,http://ch-toulon.achatpublic.com,,,,,False,False,,False,False
13-145891,SIRA,None,Monsieur le Président,,,321 rue de Londres,62730,les Attaques,,03-21-85-53-10,,,stephane.lavoine@sira-eau.fr,,,,,,,False,False,,False,False
13-151615,C.H. de Guéret,None, secrétariat des services économiques,,,39 avenue de la sénatorerie BP 159,23011,Guéret cedex,,(+33) 5-55-51-70-81,,(+33) 5-55-51-70-85,dse.chgueret@sil.fr,,https://www.achat-hopital.com,,,,,False,False,,False,False
13-16013,Mairie de MATOURY,None,"Mlle JEAN MARIE VERONIQUE, DST",,,"1, rue Victor Céïde BP 59",97351,matoury,,059-43-19-88-44,,05-94-35-64-11,marches@mairie-matoury.fr,,http://www.klekoon.com,,,,,False,False,,False,False
13-166002,Communauté de Communes du Moyen Verdon,None,M. le Président,,,126 Avenue Frédéric MistralB.P. 28,4120,Castellane,,04-92-83-68-99,,04-92-83-74-36,contact@ccmv.fr,http://www.cc-moyenverdon.fr/public/,https://www.boamp.fr/demat/consultation/CONS-13-166002,,,,,False,False,,False,False
13-207580,TISSEO,None,"M. Olivier POITRENAUD, Directeur Général",,,"Etablissement Public Industriel et Commercial4, Impasse Paul Mesplé",31081,Toulouse Cedex 1,,(+33)5-62-11-26-22,,(+33)5-62-11-26-20,,http://www.tisseo.fr,,,,,,False,False,,False,False
14-105654,Ville d'Istres,None,Monsieur le Maire,,,rue Abel Aubrun - cS 97002. Fax (+33) 4 42 55 50 53.,13808,Istres Cedex,,(+33) 4-42-55-50-00,,(+33) 4-42-55-50-53,,http://www.istres.fr,http://www.istres.fr,http://www.istres.fr,http://www.istres.fr,,,False,False,,False,False
14-128744,Ville d'Epinay-sur-Seine,None,Monsieur le Maire,,,1-3 Rue Quétigny,93806,Epinay-sur-Seine,,,,,,,https://marches.maximilien.fr,,,,,False,False,,False,False
14-129421,Préfecture de Police de Paris,None,M. Le Préfet de Police,,,9 boulevard du Palais,75195,Paris,,01-49-96-34-73,,01-49-96-37-71,pp-sai-baj@interieur.gouv.fr,http://www.prefecturedepolice.interieur.gouv.fr,http://m13.paris.fr,,,,,False,False,,False,False
14-129601,Centre Hospitalier de Calais,None,Monsieur le Directeur,,,Direction des Achats et de la Logistique Cellule Marchés BP 339,62107,Calais cedex,,03-21-46-33-74,,03-21-46-33-93,mc.feutry@ch-calais.fr,,,,,,,False,False,,False,False
14-134411,Commune de Guiscard,None,Monsieur le Maire,,,127 rue du Général Leclerc,60640,Guiscard,,03-44-43-20-11,,03-44-43-90-72,,,http://www.marches-securises.fr,,,,,False,False,,False,False
14-142381,CENTRE HOSPITALIER,None,M. Leflond Catherine,,,7 BIS RUE DE PARPAS 7 bis rue de parpas,71407,Autun,,(+33) 3-85-86-84-03,,(+33) 3-85-86-84-03,,,,,,,,False,False,,False,False
14-145708,Vendée Eau,None,"Eric RAMBAUD, Président de Vendée Eau",,,57 rue Paul Emile Victor - ZAC Bell,85036,La roche sur yon cédex,,02-51-24-82-00,,02-51-24-82-01,,,http://www.vendee-eau.fr,,,,,False,False,,False,False
14-152031,Reseau des acheteurs hospitaliers IDF,None,www.achat-hopital.com,,,47 rue Charonne,75011,Paris,,,,,,http://www.resah.fr,http://www.achat-hopital.com,,,,,False,False,,False,False
14-153280,ONERA - Direction des Achats,None,'Sabine INARD et Aurélien LARRAT,'Sabine INARD et Aurélien LARRAT,,"29, avenue de la Division Leclerc BP72",92322,Chatillon,,(+33) 1-46-73-39-40,,(+33) 1-46-73-41-54,"sabine.inard@onera.fr,aurelien.larrat@onera.fr",http://www.onera.fr,,,,,,False,False,,False,False
14-156088,Cté d'Agglomération du Pays Ajaccien,None,Monsieur le Président de la Communauté d'Agglomération du Pays Ajaccien,,,"Site Alban, Bâtiments G et H, 18 rue Comte de Marbeuf",20000,Ajaccio,,(+33) 4-95-52-95-00,,(+33) 4-95-52-53-18,marche-public@ca-ajaccien.fr,http://www.ca-ajaccien.fr,,,,,,False,False,,False,False
14-158201,Ville de Châteauroux,None,Gil Avérous,,,Hôtel de Ville - 1er étageCS 80509 - Place de la République,36012,Châteauroux cedex,,,,,,,http://ville-chateauroux.marcoweb.fr,,,,,False,False,,False,False
14-163485,Ville de Nantes,None,Laurence LE POTTIER,Direction de la Petite Enfance,,"2, Rue de l'Hôtel de Ville",44000,Nantes,,(+33) 2-40-41-31-17,,,laurence.le-pottier@mairie-nantes.fr,http://www.nantes.fr,http://marchepublics.nantesmetropole.fr,,,,,False,False,,False,False
14-164831,MAIRIE DE VIDELLES,None,Landolfi bernard,,,1 rue de la croix boissée,91890,Videlles,,01-64-98-32-09,,01-64-98-33-64,mairie.videlles@wanadoo.fr,,,,,,,False,False,,False,False
14-167342,Ville de Sainte Geneviève des Bois,None,Monsieur le Maire,,,Place Roger Perriaud,91700,Sainte genevieve des bois,,,,,,,,,,,,False,False,,False,False
14-174274,Ville de Valenciennes,None,Monsieur le Maire,,,Place d'armesBP 90339,59304,Valenciennes cédex,,,,,service_commandepublique@ville-valenciennes.fr,http://valenciennes.fr,http://marches.rvvn.org,http://marches.rvvn.org,,,,False,False,,False,False
14-178078,Commune du Tampon,None,M. le Maire de la commune du Tampon,,,"256, rue Hubert Delisle",97430,Le Tampon,,(+33) -02- 6-2 -57- 8-4 -52,,(+33) -02- 6-2 -57- 8-7 -38,,http://webmarche.adullact.org,http://webmarche.adullact.org,http://webmarche.adullact.org ,http://webmarche.adullact.org ,,,False,False,,False,False
