BOAMP_AVIS_NUM,D_01_01_Identite_Denomination,D_01_02_Identite_Codeidentnational,D_01_03_Identite_Correspondant,D_01_04_Identite_Contact,D_01_05_Identite_Adjudicateurnuts,D_01_06_Identite_Adresse,D_01_07_Identite_Cp,D_01_08_Identite_Ville,D_01_09_Identite_Pays,D_01_10_Identite_Tel,D_01_11_Identite_Poste,D_01_12_Identite_Fax,D_01_13_Identite_Mel,D_01_14_Identite_Url,D_01_15_Identite_Urlprofilacheteur,D_01_16_Identite_Urlinformation,D_01_17_Identite_Urlparticipation,D_01_18_Identite_Urldocument,D_01_19_Identite_Outillogiciel,D_01_20_Identite_Agitpourautrecompteoui,D_01_21_Identite_Agitpourautrecomptenon,D_01_22_Identite_Loicompteautrepays,D_01_23_Identite_Organismeacheteurcentraloui,D_01_24_Identite_Organismeacheteurcentralnon
15-110383,Conseil départemental du Pas-de-Calais,None, M. le Président du Conseil départemental,,,Département du Pas-de-Calais Hôtel du Département Rue Ferdinand Buisson,62018,ARRAS CEDEX 9,,03-21-21-67-30,,03-21-21-62-38,,https://marches.local-trust.com/cg-62,,,,,,False,False,,False,False
15-110384,Mairie de Neuilly sur Marne,None,"M. Mahéas Jacques, Maire",,,1 Place Francois Mitterrand B.P 40,93331,Neuilly sur marne cedex,,01-43-08-96-96,,,service.marches.publics@neuillysurmarne.fr,,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,False,,False,False
15-110385,Lycée Henri POINCARE,19540038700013,Mme NANOT Emmanuelle,Secrétariat du Groupement de Commandes,,2 Rue de la Visitation,54042,Nancy cedex,,(+33) 3-83-17-39-44,,(+33) 3-83-17-39-54,ce.0540038y_ga@ac-nancy-metz.fr,,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,False,,False,False
15-110386,ESID de Rennes,None,"M. LECOEUR ARNAUD, Etablissement du Service d'Infrastructure de la Défense de RENNES",,,Quartier Margueritte bp14,35998,Rennes cedex 9,,02-23-35-26-01,,02-23-35-21-93,,,,,,,,False,False,,False,False
15-133360,Direction des Achats Mairie de Paris,None," CSP 5 Domaine Travaux Neufs Ville de Paris-DPA-BI, Ville de Paris",,,DFA - 17 boulevard Morland DA - 95 avenue de France,75181,Paris cedex 04,,,,,dfa-csp5@paris.fr,http://www.paris.fr,https://marches.maximilien.fr,,,,,False,False,,False,False
15-110388,Université Européenne de Bretagne,None,service gestion,,,5 boulevard Laennec,35000,Rennes,,02-23-23-79-64,,02-23-44-84-55,marchespublics@ueb.eu,http://ueb.eu,,,,,,False,False,,False,False
15-110389,Commune de Mont Saint Martin,None,M. le maire,,,1 Boulevard du 8 mai 1945,54350,mont saint martin,,,,,,,,,,,,False,False,,False,False
15-110390,Communauté Urbaine Toulouse Métropole,None,M. Le Président de Toulouse Métropole,,,Direction de la Commande Publique - 6 rue René Leduc - BP 35821,31505,Toulouse cedex 5,,(+33) 5-81-91-73-41,,,marchespublics@toulouse-metropole.fr,,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,False,,False,False
15-110391,SNA Antilles Guyane,None,M. NIOLET Yves,,,Aéroport de Martinique Aimé Césaire,97232,Le lamentin,,,,05-96-42-27-02,,,,,,,,False,False,,False,False
15-110392,Commune de Thonon-les-Bains,None,Mme TONARELLI Sandrine,,,CS 20517,74203,Thonon les bains cedex,,04-50-17-02-46,,,s-tonarelli@ville-thonon.fr,,,,,,,False,False,,False,False
15-110394,Centre Hospitalier d'Ajaccio,None,,M. HOULIER - directeur du C.H. la Miséricorde,,27 avenue impératrice Eugénie,20303,Ajaccio,,(+33) 4-95-29-94-09,,,,,https://achat-hopital.com,,https://achat-hopital.com,,,False,False,,False,False
15-110396,SDIS du Doubs,None, La Présidente du conseil d'administration,,,"Service Départemental d'Incendie et de Secours du Doubs 10, Chemin de la Clairière",25042,BESANCON Cedex,,03-81-85-36-00,,03-81-85-37-09,marches.publics@sdis25.fr,http://www.sdis25.fr,,,,,,False,False,,False,False
15-110397,Préfecture de la Loire,None,"M. Louis VITTI, Préfecture de la Loire",,,2 rue Charles de GaulleCS 12241,42022,SAINT-ETIENNE,,04-77-48-48-43,,,louis.vitti@loire.gouv.fr,,,,,,,False,False,,False,False
